OBJECTID,leg_id,start_time,start_node_lat,start_node_lng,end_node_lat,end_node_lng,CentroidID_O,CentroidID_D
19381,95850454,2000-01-01 17:15:00 +0800,37.53419,-121.92776,37.49458,-121.92938000000001,8,25
19382,95850455,2000-01-01 18:00:00 +0800,37.49458,-121.92938000000001,37.54867,-121.93807,25,28
19383,95850502,2000-01-02 01:16:00 +0800,37.53644,-121.92976000000002,37.50237,-121.95432,7,1
19384,95850504,2000-01-02 01:29:00 +0800,37.50237,-121.95432,37.53644,-121.92976000000002,1,7
19385,95850505,2000-01-02 02:33:00 +0800,37.53644,-121.92976000000002,37.50424,-121.92465,7,18
19386,95850506,2000-01-02 03:45:00 +0800,37.50424,-121.92465,37.53644,-121.92976000000002,18,7
19387,95850508,2000-01-01 19:56:00 +0800,37.53644,-121.92976000000002,37.535109999999996,-121.9273,7,9
19388,95850510,2000-01-02 01:47:00 +0800,37.535109999999996,-121.9273,37.53644,-121.92976000000002,9,7
19389,95850512,2000-01-01 18:08:00 +0800,37.53644,-121.92976000000002,37.527640000000005,-121.93776000000001,7,7
19390,95850514,2000-01-01 21:36:00 +0800,37.527640000000005,-121.93776000000001,37.53644,-121.92976000000002,7,7
19391,95850539,2000-01-01 19:53:00 +0800,37.52471,-121.93038,37.51764,-121.94493,14,30
19392,95850542,2000-01-01 23:10:00 +0800,37.51764,-121.94493,37.52471,-121.93038,30,14
19393,95850598,2000-01-02 03:09:00 +0800,37.52834,-121.95113,37.52899,-121.91973,4,8
19394,95850599,2000-01-02 04:11:00 +0800,37.52899,-121.91973,37.52834,-121.95113,8,4
19395,95850602,2000-01-02 07:46:00 +0800,37.51198,-121.95111999999999,37.50237,-121.95432,2,1
19396,95850828,2000-01-01 20:46:00 +0800,37.51797,-121.93196999999999,37.530640000000005,-121.93361000000002,14,7
19397,95850831,2000-01-02 05:28:00 +0800,37.530640000000005,-121.93361000000002,37.51797,-121.93196999999999,7,14
19398,95850855,2000-01-01 21:25:00 +0800,37.520790000000005,-121.93399,37.512809999999995,-121.93271999999999,14,17
19399,95850856,2000-01-01 21:52:00 +0800,37.512809999999995,-121.93271999999999,37.520790000000005,-121.93399,17,14
19400,95850866,2000-01-01 22:08:00 +0800,37.520790000000005,-121.93399,37.540459999999996,-121.92236000000001,14,9
19401,95850869,2000-01-02 03:01:00 +0800,37.540459999999996,-121.92236000000001,37.520790000000005,-121.93399,9,14
19402,95850878,2000-01-02 01:01:00 +0800,37.520790000000005,-121.93399,37.54286,-121.93436000000001,14,11
19403,95850879,2000-01-02 02:29:00 +0800,37.54286,-121.93436000000001,37.520790000000005,-121.93399,11,14
19404,95850890,2000-01-02 06:06:00 +0800,37.520579999999995,-121.93168999999999,37.50582,-121.93032,14,18
19405,95850914,2000-01-01 21:14:00 +0800,37.520579999999995,-121.93168999999999,37.53205,-121.94538,14,4
19406,95850982,2000-01-02 05:17:00 +0800,37.50909,-121.94928999999999,37.54364,-121.9331,2,11
19407,95850983,2000-01-02 05:48:00 +0800,37.54364,-121.9331,37.53603,-121.92545,11,9
19408,95850998,2000-01-01 19:31:00 +0800,37.53603,-121.92545,37.50237,-121.95432,9,1
19409,95850999,2000-01-02 02:40:00 +0800,37.50237,-121.95432,37.53603,-121.92545,1,9
19410,95851106,2000-01-02 04:58:00 +0800,37.52994,-121.94122,37.52953,-121.93777,7,7
19411,95851109,2000-01-02 05:07:00 +0800,37.52953,-121.93777,37.52994,-121.94122,7,7
19412,95851111,2000-01-02 01:06:00 +0800,37.52994,-121.94122,37.5344,-121.92249,7,8
19413,95851114,2000-01-02 03:59:00 +0800,37.5344,-121.92249,37.52994,-121.94122,8,7
19414,95851129,2000-01-02 07:14:00 +0800,37.52994,-121.94122,37.55234,-121.94825,7,28
19415,95851293,2000-01-02 00:22:00 +0800,37.53018,-121.92948,37.53145,-121.93406,7,7
19416,95851296,2000-01-02 01:17:00 +0800,37.53145,-121.93406,37.51225,-121.95035,7,2
19417,95851429,2000-01-02 03:52:00 +0800,37.52772,-121.9248,37.51287,-121.94508,"12
",30
19418,95851466,2000-01-02 03:33:00 +0800,37.51951,-121.92414,37.521370000000005,-121.92456000000001,13,13
19419,95851470,2000-01-02 07:20:00 +0800,37.521370000000005,-121.92456000000001,37.51951,-121.92414,13,13
19420,95851485,2000-01-02 04:59:00 +0800,37.538540000000005,-121.92606,37.51287,-121.94508,9,30
19421,95851486,2000-01-02 06:19:00 +0800,37.51287,-121.94508,37.538540000000005,-121.92606,30,9
19422,95851494,2000-01-02 00:27:00 +0800,37.538540000000005,-121.92606,37.50078,-121.93948,9,1
19423,95851495,2000-01-02 00:58:00 +0800,37.50078,-121.93948,37.538540000000005,-121.92606,1,9
19424,95851522,2000-01-02 07:47:00 +0800,37.520759999999996,-121.92036999999999,37.50237,-121.95432,"12
",1
19425,95851533,2000-01-02 05:38:00 +0800,37.50462,-121.94124,37.54347,-121.94599,1,6
19426,95851537,2000-01-02 06:05:00 +0800,37.54347,-121.94599,37.520759999999996,-121.92036999999999,6,"12
"
19427,95851581,2000-01-01 21:53:00 +0800,37.537459999999996,-121.92258999999999,37.52956,-121.93385,9,7
19428,95851583,2000-01-01 22:01:00 +0800,37.52956,-121.93385,37.52833,-121.91998999999998,7,8
19429,95851594,2000-01-01 22:57:00 +0800,37.52833,-121.91998999999998,37.52682,-121.9189,8,"12
"
19430,95851596,2000-01-01 23:05:00 +0800,37.52682,-121.9189,37.537459999999996,-121.92258999999999,"12
",9
19431,95851599,2000-01-02 05:30:00 +0800,37.537459999999996,-121.92258999999999,37.53145,-121.93406,9,7
19432,95851601,2000-01-02 06:55:00 +0800,37.53145,-121.93406,37.537459999999996,-121.92258999999999,7,9
19433,95851603,2000-01-01 19:04:00 +0800,37.537459999999996,-121.92258999999999,37.52933,-121.92505,9,8
19434,95851605,2000-01-02 04:37:00 +0800,37.52933,-121.92505,37.537459999999996,-121.92258999999999,8,9
19435,95851637,2000-01-01 21:04:48 +0800,37.513709999999996,-121.93775,37.51733,-121.91963999999999,16,20
19436,95851648,2000-01-02 02:58:00 +0800,37.51733,-121.91963999999999,37.50237,-121.95432,20,1
19437,95851703,2000-01-02 03:38:00 +0800,37.531209999999994,-121.9256,37.529959999999996,-121.92523,8,8
19438,95851705,2000-01-02 03:46:00 +0800,37.529959999999996,-121.92523,37.531209999999994,-121.9256,8,8
19439,95851873,2000-01-01 21:15:00 +0800,37.519690000000004,-121.94394,37.53678,-121.91938,30,9
19440,95851874,2000-01-01 22:37:00 +0800,37.53678,-121.91938,37.519690000000004,-121.94394,9,30
19441,95851877,2000-01-02 04:22:00 +0800,37.51913,-121.9446,37.519690000000004,-121.94394,30,30
19442,95851943,2000-01-02 00:02:00 +0800,37.49431,-121.92556,37.51569,-121.9205,24,20
19443,95852063,2000-01-01 23:34:00 +0800,37.508790000000005,-121.94868000000001,37.534620000000004,-121.9463,2,4
19444,95852249,2000-01-02 00:43:00 +0800,37.534620000000004,-121.9463,37.53093,-121.92963,4,7
19445,95852296,2000-01-02 04:48:00 +0800,37.53483,-121.92294,37.51474,-121.93964,8,16
19446,95852297,2000-01-02 04:59:00 +0800,37.51474,-121.93964,37.53483,-121.92294,16,8
19447,95852304,2000-01-02 03:00:00 +0800,37.53565,-121.93023000000001,37.51198,-121.95111999999999,7,2
19448,95852305,2000-01-02 04:49:00 +0800,37.51198,-121.95111999999999,37.50597,-121.94243999999999,2,1
19449,95852306,2000-01-02 04:26:00 +0800,37.53565,-121.93023000000001,37.53564,-121.91785,7,8
19450,95852307,2000-01-02 04:59:00 +0800,37.53564,-121.91785,37.53565,-121.93023000000001,8,7
19451,95852308,2000-01-01 18:28:00 +0800,37.53565,-121.93023000000001,37.50237,-121.95432,7,1
19452,95852309,2000-01-02 02:19:00 +0800,37.50237,-121.95432,37.53565,-121.93023000000001,1,7
19453,95852660,2000-01-02 06:01:00 +0800,37.52668,-121.92249,37.51259,-121.93494,"12
",17
19454,95852661,2000-01-02 06:19:00 +0800,37.51259,-121.93494,37.52668,-121.92249,17,"12
"
19455,95852662,2000-01-01 18:29:00 +0800,37.52668,-121.92249,37.50237,-121.95432,"12
",1
19456,95852663,2000-01-02 02:43:00 +0800,37.50237,-121.95432,37.52668,-121.92249,1,"12
"
19457,95852679,2000-01-01 21:49:00 +0800,37.529309999999995,-121.92166999999999,37.5302,-121.92806000000002,8,7
